Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.60;691;749;114;212184;
2026;4.50;729;789;120;216811;
2027;4.50;769;831;126;221396;
2028;4.40;810;875;133;225949;
2029;4.30;853;921;140;230483;
2030;4.30;899;970;147;235012;
2031;4.30;948;1021;154;239544;
2032;4.30;1000;1076;162;244084;
2033;4.30;1055;1124;169;248634;
2034;4.30;1115;1186;178;253199;
Pertumbuhan;4.38;4.89;4.70;4.56;1.78;
