Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.58;14661;16034;2479;4769479;
2026;5.61;15128;16508;2550;4937387;
2027;5.61;15762;17179;2652;5053945;
2028;5.58;16453;17931;2767;5117168;
2029;5.55;17334;18906;2916;5179243;
2030;5.53;18256;19878;3064;5240195;
2031;5.50;19223;20896;3219;5300154;
2032;5.49;20240;21964;3381;5359260;
2033;5.49;21309;23086;3552;5417528;
2034;5.48;22434;24265;3731;5474983;
Pertumbuhan;5.54;5.09;4.97;4.90;1.64;
