Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;7.8;7899;8341;1209;1741842;
2026;7.7;8509;8975;1296;1763379;
2027;6.3;9046;9537;1372;1786084;
2028;6.6;9646;10161;1457;1810085;
2029;7.0;10320;10864;1553;1835502;
2030;7.0;11040;11613;1654;1861639;
2031;6.8;11788;12391;1759;1888139;
2032;6.9;12599;13233;1871;1915673;
2033;6.9;13464;14118;1990;1944054;
2034;6.9;14387;15079;2122;1973325;
Pertumbuhan;7.0;7.0;6.9;6.5;1.4;
