Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.5;65919;70743;9274;17479639;
2026;6.4;70153;75161;9851;17723739;
2027;5.0;73666;78850;10332;17962853;
2028;4.6;77088;82418;10797;18196824;
2029;3.0;79416;84818;11109;18425484;
2030;5.0;83363;88932;11645;18649200;
2031;3.0;85838;91476;11975;18868576;
2032;3.6;88890;94627;12385;19083774;
2033;3.1;91659;97571;12767;19294896;
2034;2.9;94324;100404;13135;19502045;
Pertumbuhan;4.1;4.1;4.0;4.0;1.2
