Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;2.9;39055;41666;5871;5374288;
2026;3.0;40212;42845;6037;5428374;
2027;4.0;41827;44533;6274;5482669;
2028;3.8;43436;46203;6508;5536365;
2029;5.5;45816;48692;6858;5589601;
2030;2.4;46901;50335;7089;5643203;
2031;2.7;48161;52201;7350;5698994;
2032;2.6;49412;54094;7616;5758334;
2033;2.7;50762;56134;7902;5821787;
2034;2.7;52124;58114;8180;5889834;
Pertumbuhan;3.2;3.2;3.7;3.7;1.0;
