Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.24;2195;2438;399;842593;
2026;5.15;2329;2585;423;857666;
2027;5.05;2464;2735;447;872554;
2028;4.94;2603;2889;471;887230;
2029;4.83;2747;3047;496;901675;
2030;4.82;2898;3214;522;915904;
2031;4.81;3057;3390;550;931706;
2032;4.78;3226;3576;580;945523;
2033;4.78;3406;3775;611;959117;
2034;4.78;3599;3988;645;972469;
Pertumbuhan;4.78;5.07;5.04;4.91;1.44
