Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;6.0;1591;1831;317;1336148;
2026;6.1;1745;2003;346;1415119;
2027;6.2;1859;2132;366;1495754;
2028;6.2;2025;2318;396;1578016;
2029;6.2;2190;2504;425;1661857;
2030;6.2;2355;2688;454;1747239;
2031;6.2;2527;2881;485;1808080;
2032;6.2;2710;3084;516;1833627;
2033;6.2;2903;3305;550;1859099;
2034;6.2;3104;3534;586;1884506;
Pertumbuhan;6.2;7.7;7.6;7.0;3.9;
