Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;6.68;4218;4472;739;1793901;
2026;6.73;4388;4647;770;1835866;
2027;6.74;4560;4826;801;1878131;
2028;6.74;4746;5023;836;1920532;
2029;6.76;4984;5270;879;1963021;
2030;6.74;5238;5534;925;2005477;
2031;6.69;5507;5813;974;2047855;
2032;6.70;5795;6112;1026;2090200;
2033;6.69;6101;6431;1080;2132409;
2034;6.68;6429;6770;1137;2174415;
Pertumbuhan;6.71;4.72;4.92;5.10;2.18;
