Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;6.83;1081;1171;189;376085;
2026;6.87;1124;1217;197;382478;
2027;6.88;1180;1277;207;388795;
2028;6.90;1240;1342;217;395038;
2029;6.88;1303;1410;228;401222;
2030;6.93;1375;1486;241;407358;
2031;6.86;5831;6039;980;413454;
2032;6.84;5912;6125;994;419520;
2033;6.82;5998;6218;1010;425574;
2034;6.80;6089;6316;1026;431568;
Pertumbuhan;6.86;39.36;33.79;33.87;1.56;
