Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.5;9954;10959;1684;2987549;
2026;5.4;10423;11461;1752;3102801;
2027;5.3;11141;12230;1859;3220429;
2028;5.1;11733;12864;1946;3340140;
2029;5.0;12437;13620;2049;3461906;
2030;5.0;13612;14882;2227;3589191;
2031;5.0;14974;16345;2433;3722631;
2032;5.0;16283;17750;2629;3861685;
2033;5.0;17308;18849;2788;4007533;
2034;5.0;18011;19602;2895;4160512;
Pertumbuhan;5.12;6.8;6.7;6.2;3.7;
