Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.5;1229.3;1391.3;211.2;378750;
2026;5.4;1287.4;1453.9;221.5;397557;
2027;5.3;1347.8;1520.6;232.3;416635;
2028;5.2;1868.5;2109.2;508.4;435939;
2029;5.0;1934.2;2180.5;519.7;455462;
2030;5.0;2032.0;2287.6;531.4;475786;
2031;5.0;2120.0;2383.5;543.5;497090;
2032;5.0;2453.2;2754.4;556.0;519276;
2033;5.0;3064.2;3435.8;568.9;542504;
2034;5.0;3151.7;3529.3;582.3;566819;
Pertumbuhan;5.15;11.0;10.9;11.9;4.6;
