Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.0;1574;1815;295;598584;
2026;4.9;1672;1926;313;613217;
2027;4.7;1771;2038;330;627631;
2028;4.6;1870;2150;347;641819;
2029;4.5;1970;2263;365;655793;
2030;4.5;2072;2377;382;655793;
2031;4.5;2176;2493;400;683358;
2032;4.4;2282;2611;418;697018;
2033;4.4;2389;2732;437;710631;
2034;4.4;2500;2854;455;724213;
Pertumbuhan;4.6;5.4;5.3;5.1;2.2;
