Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.5;756;854;149;300741;
2026;4.5;801;905;158;312151;
2027;4.4;848;956;166;323492;
2028;4.3;896;1010;175;330055;
2029;4.3;946;1065;184;336285;
2030;4.3;998;1123;194;342448;
2031;4.2;1053;1184;204;347740;
2032;4.2;1111;1247;214;352780;
2033;4.2;1172;1314;225;357755;
2034;4.2;1236;1384;237;362662;
Pertumbuhan;4.3;5.6;5.5;5.3;2.1;
