Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.45;1870;2096;326;577690;
2026;5.34;1985;2222;347;586520;
2027;5.22;2103;2352;370;595183;
2028;5.10;2222;2486;394;603660;
2029;4.98;2344;2620;418;611944;
2030;4.96;2468;2756;443;620046;
2031;4.96;2593;2895;468;627961;
2032;4.93;2721;3035;495;635714;
2033;4.93;2850;3177;518;643278;
2034;4.93;2981;3321;529;650672;
Pertumbuhan;5.08;5.41;5.34;5.68;1.36;
