Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.04;2662;3000;507;1200670;
2026;4.03;2805;3147;532;1216426;
2027;4.00;4344;4863;822;1231794;
2028;3.96;4494;5031;850;1246919;
2029;3.91;4649;5189;877;1261858;
2030;3.89;4810;5352;904;1276538;
2031;3.87;4975;5520;932;1290937;
2032;3.86;5146;5694;961;1305165;
2033;3.85;5324;5873;991;1319198;
2034;3.84;5508;6058;1019;1333030;
Pertumbuhan;3.93;9.02;8.74;8.68;1.19;
