Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;3.3;29715;31122;4441;4115849;
2026;2.3;30406;31835;4543;4170631;
2027;3.3;31400;32863;4689;4224316;
2028;3.2;32390;33895;4837;4276872;
2029;3.1;33383;34930;4984;4328266;
2030;3.1;34418;36010;5138;4378628;
2031;3.2;35517;37156;5302;4428180;
2032;3.2;36647;38334;5470;4477048;
2033;3.2;37828;39565;5646;4525288;
2034;3.4;39113;40905;5837;4572970;
Pertumbuhan;3.1;3.1;3.1;3.1;1.2;
