Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.3;46140;49562;7178;13979822;
2026;4.9;48416;51922;7505;14103626;
2027;4.8;50721;54341;7840;14220907;
2028;3.8;52643;56339;8113;14333132;
2029;4.2;54844;58626;8426;14440133;
2030;2.2;56076;59884;8591;14541807;
2031;2.9;57701;61554;8814;14637916;
2032;2.8;59304;63198;9032;14728242;
2033;3.4;61322;65277;9315;14812749;
2034;3.0;63189;67261;9598;14891404;
Pertumbuhan;3.6;3.6;3.5;3.4;0.7;
