Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2024;4.59;3425;3895;632;1529884;
2025;4.57;3596;4082;662;1558712;
2026;4.53;3791;4288;694;1587399;
2027;4.47;3953;4461;721;1615923;
2028;4.40;4117;4646;750;1644265;
2029;4.33;4285;4823;777;1672394;
2030;4.31;4458;5005;806;1700323;
2031;4.29;4637;5191;835;1728093;
2032;4.28;4821;5384;864;1755751;
2033;4.27;5011;5581;895;1783310;
2034;4.27;5207;5785;926;1810759;
Pertumbuhan;4.37;3.77;3.55;3.41;1.51;
