Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;7.24;2103;2437;434;1029531;
2026;7.01;2215;2568;454;1088982;
2027;6.78;2578;2989;525;1149692;
2028;6.55;2994;3472;609;1211566;
2029;6.33;3598;4173;762;1274586;
2030;6.28;4753;5514;1002;1340516;
2031;6.25;6173;7163;1296;1409812;
2032;6.17;7474;8675;1562;1482016;
2033;6.13;8280;9613;1723;1557728;
2034;6.09;8531;9906;1767;1637105;
Pertumbuhan;6.48;16.8;16.9;16.9;5.3;
