Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.3;839;965;143;382075;
2026;5.2;910;1047;155;399771;
2027;5.1;1066;1227;181;417942;
2028;5.0;1439;1657;245;436748;
2029;4.9;1509;1737;256;455562;
2030;4.8;1646;1896;279;475375;
2031;4.8;1719;1980;291;496048;
2032;4.8;1777;2047;301;517548;
2033;4.8;1837;2117;311;540002;
2034;4.8;1918;2210;324;563444;
Pertumbuhan;5.0;9.6;9.6;9.5;4.4
