Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.47;6470;7368;1189;2685033;
2026;4.43;6837;7741;1244;2723573;
2027;4.38;7222;8151;1306;2761565;
2028;4.32;7622;8567;1367;2798920;
2029;4.25;8036;8996;1431;2835613;
2030;4.23;8469;9443;1497;2872018;
2031;4.21;8861;9849;1556;2903577;
2032;4.20;9263;10255;1614;2936619;
2033;4.19;9680;10716;1681;2969266;
2034;4.19;10110;11192;1750;3001492;
Pertumbuhan;4.29;5.14;4.82;4.46;1.27
