Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.1;2293;2674;412;884193;
2026;5.0;2419;2823;434;922996;
2027;4.9;2787;3252;499;963012;
2028;4.8;2962;3457;530;1004021;
2029;4.7;3140;3666;561;1046113;
2030;4.7;3324;3882;594;1090106;
2031;4.7;3466;4049;618;1136064;
2032;4.7;3613;4222;644;1183950;
2033;4.7;3767;4403;671;1234044;
2034;4.7;3928;4592;700;1286417;
Pertumbuhan;4.8;6.2;6.2;6.1;4.3;
