Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.36;4299;4774;774;1536544;
2026;4.33;4572;5076;822;1569591;
2027;4.29;4820;5350;865;1602848;
2028;4.23;5055;5610;905;1636276;
2029;4.17;5296;5876;947;1669870;
2030;4.13;5545;6150;990;1703718;
2031;4.13;5804;6436;1034;1737888;
2032;4.11;6073;6732;1080;1772359;
2033;4.11;6352;7039;1128;1807163;
2034;4.10;6640;7357;1177;1844509;
Pertumbuhan;4.20;4.45;4.42;4.29;1.84;
