Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.4;2966;3433;507;2107599;
2026;5.5;3161;3663;541;2208075;
2027;5.6;3361;3890;574;2305649;
2028;5.7;3565;4140;610;2400269;
2029;5.7;3775;4377;645;2491846;
2030;5.7;3989;4633;682;2580578;
2031;5.6;4207;4896;720;2666651;
2032;5.6;4432;5150;757;2749632;
2033;5.6;4663;5411;795;2829548;
2034;5.6;4902;5679;834;2906346;
Pertumbuhan;5.6;5.7;5.8;5.7;3.6;
