Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.0;4034;4318;584;1525090;
2026;7.8;4349;4643;627;1548483;
2027;7.3;4668;4975;670;1571098;
2028;7.4;5012;5335;716;1592944;
2029;7.4;5385;5721;766;1613985;
2030;7.4;5785;6134;820;1634220;
2031;7.4;6212;6574;877;1653857;
2032;7.4;6672;7047;938;1672729;
2033;7.4;7166;7555;1003;1691429;
2034;7.4;7697;8099;1073;1709963;
Pertumbuhan;7.2;7.2;7.0;6.8;1.3;
