Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;2.70;8818;9545;1447;2273806;
2026;2.71;8987;9719;1472;2320600;
2027;2.89;9396;10141;1535;2366912;
2028;3.16;9848;10624;1607;2412630;
2029;3.44;10227;11028;1667;2457694;
2030;3.43;10619;11446;1728;2502063;
2031;3.29;11019;11872;1791;2545779;
2032;3.36;11455;12335;186;2588991;
2033;3.34;12262;13178;1985;2631687;
2034;3.32;13403;14364;2162;2673906;
Pertumbuhan;3.16;4.42;4.32;4.65;1.85;
