Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.72;7346;8053;1420;2517344;
2026;4.67;7799;8524;1502;2544979;
2027;4.60;8195;8942;1574;2571942;
2028;4.52;8613;9397;1653;2598232;
2029;4.44;9151;9965;1751;2623853;
2030;4.43;9848;10682;1875;2648894;
2031;4.41;10340;11212;1966;2673450;
2032;4.39;10853;11744;2058;2697611;
2033;4.39;11787;12665;2218;2721419;
2034;4.38;12350;13277;2314;2744886;
Pertumbuhan;4.50;6.07;5.85;5.72;0.98;
