Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;6.3;880;988;162;485105;
2026;6.5;932;1043;170;491568
2027;6.3;986;1102;179;497951;
2028;6.4;1043;1165;188;504243;
2029;6.2;1102;1229;197;510427;
2030;6.2;1163;1294;207;516485;
2031;6.2;1227;1362;216;522418;
2032;6.2;1294;1433;226;528227;
2033;6.2;1363;1507;237;533904;
2034;6.2;1435;1583;248;539429;
Pertumbuhan;6.3;5.6;5.4;4.9;1.2;
