Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;4.46;1265;1381;257;663796;
2026;4.43;1323;1439;268;672637;
2027;4.38;1390;1510;281;681286;
2028;4.32;1462;1588;295;689731;
2029;4.25;1538;1667;309;697979;
2030;4.23;1617;1749;324;706041;
2031;4.21;1701;1836;339;713934;
2032;4.20;1789;1926;355;721662;
2033;4.19;1880;2021;372;729242;
2034;4.19;1976;2119;388;736666;
Pertumbuhan;4.29;4.90;4.70;4.50;1.19;
