Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.27;3844;4263;661;1765952;
2026;5.36;3964;4385;686;1789430;
2027;5.38;4110;4541;712;1812607;
2028;5.40;4280;4720;737;1835359;
2029;7.26;4459;4893;761;1849797;
2030;7.26;4837;5302;785;1871483;
2031;7.32;5013;5487;808;1892565;
2032;7.35;5189;5574;830;1913239;
2033;7.38;6574;7086;853;1933481;
2034;7.41;6749;7273;875;1953247;
Pertumbuhan;6.54;6.38;6.08;3.28;1.15;
